id,value,min,max,notes
weapon.damagePerMultishot,0.04,0,0.2,"basic shot damage added per stack of Multishot, as a FRACTION of the gun's current damage — the gun's damage is a live stat that grows all run, so a flat step would be decisive early and nothing late"
weapon.radiusPerMultishot,0.03,0,0.2,"basic shot size added per stack of Multishot, as a fraction of the pellet's radius"
weapon.multishotScalingStacks,10,1,99,"how many stacks of Multishot the two rows above are paid out for. maxStacks is 99 for the pellet count; a compounding bonus over 99 stacks is a gun nobody tuned, so the curve stops here and everything past it is pellets"
weapon.multishot,2,1,12,"pellets the basic shot puts in the water per volley, across BOTH flippers — 2 is one stone out of each. Each one leaves on its own tick (see CONFIG.weapon.multishot and systems/shotGrid.js), so this is also how many notes a volley is subdivided into: 2 is a pair of eighths on the bar/4 cadence, 3 is a triplet, 4 is sixteenths. It is a starting count, not a cap — Pocket Full of Stones, levelling and bosses all add to it"
weapon.staggerTicks,6,1,16,"the most ticks one volley may be dealt across. Past this the gun stops subdividing and extra pellets thicken the ticks it already has, fanned, the way every pellet used to. A musical limit rather than a technical one: the bar ladder would go on halving to bar/64, and a gun rattling thirty-seconds all run is a texture rather than a rhythm. 1 turns the stagger off outright"
weapon.levelsPerExtraShot,4,1,20,"levels between the free pellets the gun grows on its own, so it keeps pace with the water without an upgrade pick. 4 and not the 8 it was because a pellet is half what it used to be — multishot counts the whole volley now rather than one flipper's share — so this is the same stones per level, arriving one at a time"
missile.damagePerLevel,4,0,15,"homing mussel damage added per stack. Small on purpose — the count is still what the card sells, this is the floor under it so fifteen stacks is not fifteen of the same shell"
missile.sizePerLevel,0.035,0,0.15,"homing mussel size added per stack, as a fraction of its radius. Fractional because the radius is a tuner slider and a flat step would mean something different in every session"
shrimpRing.damagePerLevel,1,0,5,"shrimp contact damage added per stack. A ring that is failing to kill something otherwise just gets more shrimp bouncing off it"
shrimpRing.sizePerLevel,0.035,0,0.15,"shrimp size added per stack, as a fraction of scale. The contact reach is derived from the drawn size, so this buys reach as well as picture"
scallop.damagePerLevel,7,0,25,scallop damage added per stack
scallop.sizePerLevel,0.04,0,0.15,"scallop size added per stack, as a fraction of its radius — a bigger shell finds more on its way around, which is what the bounces are for"
bounce.damagePerLevel,4,0,12,"ricochet damage added per stack. This card already bought fire rate, lifespan and bounces; a longer combo made of chips is still chips — so the pellet itself climbs, and bounce.comboDamageStep then multiplies whatever it climbed to"
bounce.sizePerLevel,0.05,0,0.2,"ricochet size added per stack, as a fraction of its radius — a fatter shot finds its next body sooner, so the bounce budget is worth more rather than longer"
weapon.shotsPerBoss,2,0,8,"basic shot pellets granted for every boss the run kills, permanently and automatically. The bosses' half of the baseline growth levelsPerExtraShot does for levels — a run four bosses deep fires eight more pellets whether or not it ever saw a Multishot card. Does NOT count as a stack of Multishot, so it buys no damage or size curve. 2 and not 1 because a pellet is half what it was: multishot is the whole volley now rather than one flipper's share, so this pays the same stones per boss it always did. 0 turns it off"
loadout.types.pebbles.weight,1,0,10,"how often a run starts as the pebble gun, against the other loadouts. 0 removes it from the roll entirely without deleting the block. Read this against a run's actual performance rather than by taste — the whole point of it being here"
loadout.types.laser.weight,1,0,10,"...and the fin lasers. Even at 1/1 while there are two: the laser is a different game rather than a harder or easier one, and a run should get either"
finLaser.speedMul,1.9,1,4,"bolt speed, against the pebble's 22. Half of the range: range is speed x life, and 1.9 x 0.34 puts a bolt at 51 units against the pebble's 79 — just over half the arena, arriving in half the time. Do not raise this to buy reach — that is what the ramp is for, and a faster bolt changes how much lead a moving fish needs"
finLaser.lifeMul,0.34,0.15,1.5,"seconds a bolt flies, against the pebble's 3.6 (the shipped row above, NOT the 1.6 fallback in config.js). The other half of the range and the one the reach ramp moves, deliberately: lengthening the flight changes only how far it goes, where speeding it up changes how the weapon is aimed"
finLaser.damageMul,1,0.5,2,"what a bolt hits for, against the pebble. 1 on purpose — the reach is the whole price of this loadout and a second cost hidden here would make the laser strictly worse than the gun it replaces"
finLaser.reachPerGunStacks,5,1,12,"gun cards per step of reach earned back. Counts family:'gun' picks off the whole run, so a new gun card counts without anyone adding it to a list"
finLaser.reachStepMul,0.15,0,0.5,"what one step is worth, as a fraction of the bolt's flight time. Five steps at 0.15 is 1.75x — 90 units against the pebble's 79, past it, which is the payoff for having gone all in on the gun"
finLaser.reachStepsMax,5,0,12,"the ceiling on those steps. A cap and not a target"
finLaser.reachNeedsBoss,1,,,"whether any of the ramp is paid before the run's first boss is down. 1 (the shipped state) makes the boss a GATE: a run holding twenty gun stacks with no boss killed is on step 0, and every step it already qualified for lands the moment one dies"
finLaser.spreadPerStack,1.35,1,2.5,"how much wider one EVEN stack of André 3000 fans the volley, on a laser loadout. Odd stacks buy pierce instead — the card alternates. Multiplies the fan whether the rig has fins or not"
finLaser.latticeBoltStacks,1,0,6,"stacks of Pocket Full of Stones that still buy a BOLT before the card converts to buying splits. 1: the opening stack is the second bolt the player expects, and every stack after it is lattice. At 0 the first pick reads as having done nothing"
finLaser.lattice.chance,0.35,0,1,"chance a bolt shatters on the body it hits. A third is often enough to be the weapon's identity and rare enough that a bolt landing plainly is still the normal case"
finLaser.lattice.children,2,1,6,"shards on the FIRST split, before Pocket Full of Stones adds to it. Read this against childrenDecay and generationsMax together — the three of them are what stops the shatter going exponential, and none of them is safe to raise alone"
finLaser.lattice.childrenDecay,1,0,3,"shards LOST per generation, floored at 1. Guard 1 of 3: without it the count is children^generations, which at 4 wide and 3 deep is 64 bolts off one pellet several times a second"
finLaser.lattice.generationsBase,1,1,3,"how deep the shatter goes before any pierce is bought. 1 is one split and no re-splitting"
finLaser.lattice.pierceStacksPerGeneration,2,1,6,"stacks of pierce per extra generation. Guard 2 of 3, and the conservative half of it: pierce is bought one odd stack of André 3000 at a time, so 2 here is four picks per level of depth"
finLaser.lattice.generationsMax,3,1,5,"the hard ceiling on depth. The other half of guard 2. A cap, not a target"
finLaser.lattice.budget,48,8,200,"shards born of a split that may be in the water at once. Guard 3 of 3, and the one that holds when the first two are retuned by somebody who has not read systems/finLaser.js. A split that would cross it is refused WHOLE rather than trimmed — half a lattice reads as the effect being broken"
finLaser.lattice.childDamageMul,0.55,0.1,1,"what a shard hits for, as a fraction of its parent. Compounds down the generations, which is what keeps a third-generation shard a spark rather than a third gun"
finLaser.lattice.childSpeedMul,0.9,0.3,1.2,"...and how fast it goes. Compounds the same way"
finLaser.lattice.childLifeMul,0.6,0.2,1,"...and how long it lives, which is why a deep shatter stays local instead of raking the arena. Compounds"
finLaser.lattice.childSizeMul,0.8,0.3,1,"...and how big it is, hitbox and drawn body together. Compounds"
finLaser.lattice.spreadRad,0.5,0.05,1.5,"half-angle of the shard fan, in radians, about the PARENT's heading — so a shatter carries on through the body rather than spraying back off it"
finLaser.lattice.childHitLock,0.02,0,0.2,"seconds a shard ignores bodies for. NOT the guard against re-hitting what the parent hit — that is the copied hit set in trySplit. This is only so two shards born on the same frame do not both resolve inside one creature before either has moved"
finLaser.lattice.amountMax,2,0,4,"the ceiling on how much Pocket Full of Stones may widen the FIRST split. The other half of guard 1, and the number the worst case turns on: at 2 the widest split is 4 and a full three-generation shatter is 40 shards against a budget of 48. At 3 it is 78 and the budget starts refusing. A stack past this goes back to buying bolts rather than doing nothing"
